race,feature,feature_description,category,min,max,mean,is_binary,units
White,X30750.0.0,Glycated haemoglobin (HbA1c),Blood biochemistry,15.0,515.2,35.97290811580506,,mmol/mol
White,X30760.0.0,HDL cholesterol,Blood biochemistry,0.219,4.401,1.4530819780857795,,mmol/L
White,X30770.0.0,Insulin-like Growth Factor 1 (IGF-1),Blood biochemistry,1.445,126.766,21.390569233637965,False,nmol/L
White,X30780.0.0,LDL direct,Blood biochemistry,0.266,9.797,3.568232211912335,,mmol/L
White,X30790.0.0,Lipoprotein A,Blood biochemistry,3.8,189.0,44.178953491082375,,nmol/L
White,X30810.0.0,Phosphate,Blood biochemistry,0.369,4.702,1.1593174680196892,,mmol/L
White,X30830.0.0,Sex hormone-binding globulin (SHBG),Blood biochemistry,0.39,241.92,52.13156137231927,False,nmol/L
White,X30840.0.0,Total bilirubin,Blood biochemistry,1.08,144.52,9.110978744774128,,umol/L
White,X30850.0.0,Testosterone,Blood biochemistry,0.35,54.342,6.0662042904577165,,nmol/L
White,X30860.0.0,Total protein,Blood biochemistry,36.27,117.36,72.3724009230163,,g/L
White,X30870.0.0,Triglycerides,Blood biochemistry,0.231,11.278,1.7515129097262094,False,mmol/L
White,X30880.0.0,Urate,Blood biochemistry,89.1,927.0,308.91117260786,False,umol/L
White,X30890.0.0,Vitamin D,Blood biochemistry,10.0,340.0,49.190475302533635,False,nmol/L
White,X30000.0.0,White blood cell (leukocyte) count,Blood count,0.0,389.7,6.895489001570148,,10^9 cells/Litre
White,X30010.0.0,Red blood cell (erythrocyte) count,Blood count,0.006,7.911,4.510203315738953,,10^12 cells/Litre
White,X30020.0.0,Haemoglobin concentration,Blood count,0.09,22.27,14.193884233076451,,grams/decilitre
White,X30030.0.0,Haematocrit percentage,Blood count,0.05,72.48,41.11356895393606,,percent
White,X30040.0.0,Mean corpuscular volume,Blood count,53.52,160.3,91.30368130086816,,femtolitres
White,X30050.0.0,Mean corpuscular haemoglobin,Blood count,0.0,95.67,31.535130283876256,,picograms
White,X30060.0.0,Mean corpuscular haemoglobin concentration,Blood count,16.1,97.3,34.53736461474241,,grams/decilitre
White,X30070.0.0,Red blood cell (erythrocyte) distribution width,Blood count,2.28,38.96,13.473057692755932,,percent
White,X30080.0.0,Platelet count,Blood count,0.3,1821.0,253.33391512742324,,10^9 cells/Litre
White,X30090.0.0,Plateletcrit,Blood count,0.0,1.445,0.2329330686053681,False,percent
White,X30100.0.0,Mean platelet (thrombocyte) volume,Blood count,5.73,16.5,9.326808919100465,,femtolitres
White,X30110.0.0,Platelet distribution width,Blood count,13.27,20.2,16.49303226530997,,percent
White,X30120.0.0,Lymphocyte count,Blood count,0.0,196.41,1.9554343537508665,,10^9 cells/Litre
White,X30130.0.0,Monocyte count,Blood count,0.0,113.39,0.4780111711245922,,10^9 cells/Litre
White,X30140.0.0,Neutrophill count,Blood count,0.0,76.42,4.248201347230845,,10^9 cells/Litre
White,X30150.0.0,Eosinophill count,Blood count,0.0,9.6,0.1739945034337647,,10^9 cells/Litre
White,X30160.0.0,Basophill count,Blood count,0.0,3.03,0.0339194288995637,,10^9 cells/Litre
White,X30170.0.0,Nucleated red blood cell count,Blood count,0.0,6.9,0.0019513869612295,,10^9 cells/Litre
White,X30180.0.0,Lymphocyte percentage,Blood count,0.0,98.7,28.691496172109904,,percent
White,X30190.0.0,Monocyte percentage,Blood count,0.0,96.9,7.086017828877527,,percent
White,X30200.0.0,Neutrophill percentage,Blood count,0.0,97.7,61.098659189584914,,percent
White,X30210.0.0,Eosinophill percentage,Blood count,0.0,100.0,2.555891899451402,,percent
White,X30220.0.0,Basophill percentage,Blood count,0.0,33.8,0.5680151547577929,,percent
White,X30230.0.0,Nucleated red blood cell percentage,Blood count,0.0,81.97,0.0304395769720573,,percent
White,X30240.0.0,Reticulocyte percentage,Blood count,0.0,90.909,1.3499452970879215,,percent
White,X30250.0.0,Reticulocyte count,Blood count,0.0,2.433,0.0608536480968616,,10^12 cells/Litre
White,X30260.0.0,Mean reticulocyte volume,Blood count,46.0,249.45,105.81587329503674,,femtolitres
White,X30270.0.0,Mean sphered cell volume,Blood count,43.31,205.2,82.8703938287589,,femtolitres
White,X30280.0.0,Immature reticulocyte fraction,Blood count,0.0,1.0,0.2889145468299392,False,ratio
White,X30290.0.0,High light scatter reticulocyte percentage,Blood count,0.0,80.0,0.3996378029839109,,percent
White,X30300.0.0,High light scatter reticulocyte count,Blood count,0.0,0.6,0.017930936937815,,10^12 cells/Litre
White,X30510.0.0,Creatinine (enzymatic) in urine,Urine biochemistry,88.0,88160.0,8801.522510706014,False,micromole/L
White,X30520.0.0,Potassium in urine,Urine biochemistry,2.4,200.0,63.4161800347932,False,millimole/L
